Supplier	Core Type	Core Model	D1	D2	D3	D4	D5	D6	D7	D8
Phillips	E	E5.3/2.7/2	5.25	3.8	1.4	2.65	1.9	2	0	0
Phillips	E	E6.3/2.9/2	6.3	3.6	1.4	2.9	1.85	2	0	0
Phillips	E	E8.8/4.1/2	9	5.2	1.9	4.1	2.03	2	0	0
Phillips	E	E13/6/3	12.7	9.5	3.2	5.7	4.1	3.18	0	0
Phillips	E	E13/6/6	12.7	9.5	3.2	5.7	4.1	6.4	0	0
Phillips	E	E13/7/4	12.6	8.9	3.7	6.5	4.5	3.7	0	0
Phillips	E	E16/8/5	16	11.3	4.7	8.2	5.7	4.7	1	0
Phillips	E	E16/12/5	16	12	4	12.25	10.25	4.85	0	0
Phillips	E	E19/8/5	19.1	14.3	4.7	8.1	5.7	4.7	0	0
Phillips	E	E19/8/9	19.05	14.33	4.75	8.05	5.69	8.71	0	0
Phillips	E	E20/10/5	20.7	12.8	5.2	10	6.3	5.3	1	0.5
Phillips	E	E20/10/6	20	14.1	5.9	10.2	7	5.9	1.5	0
Phillips	E	E20/14/5	20	14.3	4.55	13.55	11.15	5	0	0
Phillips	E	E22/16/10	22	13	8	15.75	9.75	10	0	0
Phillips	E	E25/9/6	25.4	19.3	6.35	9.45	6.5	6.3	0	0
Phillips	E	E25/10/6	25.4	18.8	6.35	9.65	6.4	6.35	0	0
Phillips	E	E25/13/7	25	17.5	7.5	12.8	8.7	7.5	2	0
Phillips	E	E25/13/11	25	17.5	7.5	12.8	8.7	11	2	0
Phillips	E	E30/15/7	30.8	19.5	7.2	15	9.7	7.3	1	0.5
Phillips	E	E31/13/9	30.9	21.9	9.4	13.4	8.6	9.4	0	0
Phillips	E	E32/16/9	32	22.7	9.5	16.4	11.2	9.5	2.5	0
Phillips	E	E34/14/9	34.3	25.5	9.3	14.1	9.8	9.3	0	0
Phillips	E	E35/18/10	35	24.5	10	17.5	12.5	10	1	0
Phillips	E	E36/21/12	36	24.5	10.2	21.75	15.75	12	0	0
Phillips	E	E41/17/12	40.6	28.6	12.45	16.6	10.4	12.4	0	0
Phillips	E	E42/21/15	43	29.5	12.2	21	14.8	15.2	2	0.6
Phillips	E	E42/21/20	43	29.5	12.2	21	14.8	20	2	0.6
Phillips	E	E42/33/20	42	29.5	12.2	32.8	26	20	0	0
Phillips	E	E47/20/16	46.9	32.4	15.6	19.6	12.1	15.6	0	0
Phillips	E	E50/27/15	50	34.1	14.6	27.2	18.6	14.6	0	0
Phillips	E	E55/28/21	56.2	37.5	17.2	27.5	18.5	21	3	0.6
Phillips	E	E55/28/25	56.2	37.5	17.2	27.5	18.5	25	3	0.6
Phillips	E	E56/24/19	56.1	38.1	18.8	23.6	14.6	18.8	0	0
Phillips	E	E65/32/27	65	44.2	20	32.8	22.2	27.4	3	0.5
Phillips	E	E71/33/32	70.5	48	22	33.2	21.9	32	0	0
Phillips	E	E80/38/20	80	59.1	19.8	38.1	28.2	19.8	0	0
Phillips	EI	E14/3.5/5	14	11	3	3.5	2	5	0.8	1.5
Phillips	EI	E14/3.5/5/R	14	11	3	3.5	2	5	0.8	1.8
Phillips	EI	E18/4/10	18	14	4	4	2	10	0.8	2
Phillips	EI	E18/4/10/R	18	14	4	4	2	10	0.8	2.4
Phillips	EI	E22/6/16	21.8	16.8	5	5.7	3.2	15.8	0.8	2.5
Phillips	EI	E22/6/16/R	21.8	16.8	5	5.7	3.2	15.8	0.8	2.9
Phillips	EI	E32/6/20	31.75	24.9	6.35	6.35	3.18	20.32	0.64	3.18
Phillips	EI	E38/8/25	38.1	30.23	7.6	8.26	4.45	25.4	0.64	3.81
Phillips	EI	E43/10/28	43.2	34.7	8.1	9.5	5.4	27.9	0.64	4.1
Phillips	EI	E58/11/38	58.4	50	8.1	10.5	6.5	38.1	0.64	4.1
Phillips	EI	E64/10/50	64	53.8	10.2	10.2	5.1	50.8	0.64	5.08
Phillips	EC	EC35	35.3	22.75	9.5	17.3	12.3	9.5		
Phillips	EC	EC41	41.6	27.05	11.6	19.5	13.9	11.6		
Phillips	EC	EC52	52.2	33	13.4	24.2	15.9	13.4		
Phillips	EC	EC70	71.7	44.5	16.4	34.5	22.75	16.4		
Phillips	EFD	EFD10	10.5	7.65	4.55	5.2	3.75	2.7	1.45	0.2
Phillips	EFD	EFD12	12.5	9	5.4	6.2	4.55	3.5	2	0.2
Phillips	EFD	EFD15	15	11	5.3	7.5	5.5	4.65	2.4	0.2
Phillips	EFD	EFD20	20	15.4	8.9	10	7.7	6.65	3.6	-0.17
Phillips	EFD	EFD25	25	18.7	11.4	12.5	9.3	9.1	5.2	-0.6
Phillips	EFD	EFD30	30	22.4	14.6	15	11.2	9.1	4.9	-0.75
Phillips	EP	EP7	9.4	7.2	3.4	3.75	2.5	6.5	1.7	
Phillips	EP	EP10	11.5	9.4	3.3	5.1	3.7	7.6	1.8	
Phillips	EP	EP13	12.8	9.7	4.5	6.5	4.5	9	2.4	
Phillips	EP	EP17	18	12	5.7	8.4	5.7	11	3.3	
Phillips	EP	EP20	24	16.5	8.8	10.7	7.2	15	4.5	
Phillips	EQ	EQ13	12.8	11.2	5	2.85	1.75	8.7		
Phillips	EQ	EQ30	30	26	11	8	5.3	20		
Phillips	ER	ER9.5	9.5	7.5	3.5	2.45	1.6	5	7.1	
Phillips	ER	ER11	11	8.7	4.25	2.45	1.5	6	8	
Phillips	ER	ER14.5	14.5	11.8	4.8	2.95	1.55	6.8	0	
Phillips	ER	ER28	28.55	21.75	9.9	14	9.75	11.4	0	
Phillips	ER	ER28L	28.55	21.75	9.9	16.9	12.65	11.4	0	
Phillips	ER	ER35	35	26.15	11.3	20.7	14.75	11.4	0	
Phillips	ER	ER35W	35	27.1	11.3	20.9	15	11.3	0	
Phillips	ER	ER40	40	29.6	13.3	22.4	15.45	13.4	0	
Phillips	ER	ER42	42	30.05	15.5	22.4	15.45	15.6	0	
Phillips	ER	ER42A	42	30.4	15	21.8	15.6	15.6	0	
Phillips	ER	ER48	48	38	18	21.2	14.7	21	0	
Phillips	ER	ER54	53.5	40.65	17.9	18.3	11.1	17.95	0	
Phillips	ETD	ETD29	30.6	22	9.8	15.8	11	9.8		
Phillips	ETD	ETD34	35	25.6	11.1	17.3	11.8	11.1		
Phillips	ETD	ETD39	40	29.3	12.8	19.8	14.2	12.8		
Phillips	ETD	ETD44	45	32.5	15.2	22.3	16.1	15.2		
Phillips	ETD	ETD49	49.8	36.1	16.7	24.7	17.7	16.7		
Phillips	ETD	ETD54	54.5	41.2	18.9	27.6	20.2	18.9		
Phillips	ETD	ETD59	59.8	44.7	21.65	31	22.5	21.65		
Phillips	P	P9/5	9.3	7.5	3.9	5.4	3.6	2.1	2	6.5
Phillips	P	P11/7	11.1	9	4.7	6.5	4.4	2.1	2.2	6.8
Phillips	P	P11/7/I	11.1	9.2	4.6	6.6	4.6	0	2.2	6.8
Phillips	P	P14/8	14.3	11.6	6	8.4	5.6	3.1	2.7	9.5
Phillips	P	P14/8/I	14.05	11.8	5.9	8.4	5.8	0	3.3	9.5
Phillips	P	P18/11	18.4	14.9	7.6	10.6	7.2	3.1	3.8	13.4
Phillips	P	P18/11/I	17.9	15.1	7.4	10.6	7.4	0	3.8	13.4
Phillips	P	P22/13	22	17.9	9.4	13.4	9.2	4.4	3.8	15
Phillips	P	P22/13/I	21.5	18.2	9.2	13.4	9.4	0	3.8	15
Phillips	P	P26/16	25.5	21.2	11.5	16.1	11	5.4	3.8	18
Phillips	P	P26/16/I	25.5	21.6	11.3	16.2	11.2	0	3.8	18
Phillips	P	P30/19	30	25	13.5	18.8	13	5.4	4.3	20.5
Phillips	P	P36/22	36.2	29.9	16.2	21.7	14.6	5.4	4.9	26.2
Phillips	P	P42/29	42.4	35.6	17.7	29.4	20.3	5.4	5.1	32
Phillips	PT	PT14/8	14.05	11.8	5.9	8.3	5.8	3.1	3.3	9.4
Phillips	PT	PT18/11	18	15.15	7.4	10.6	7.4	3.1	3.8	11.94
Phillips	PT	PT23/11	22.9	18.3	9.7	11	7.6	5.1	0	15.2
Phillips	PT	PT23/18	22.9	18.3	9.7	18	14.4	5.1	0	15.2
Phillips	PH	PH5.6/3.6	5.75	4.5	2.5	3.6	2.8	0.95	1.5	4
Phillips	PH	PH7.4/3.9	7.4	5.8	3	3.95	2.8	1.38	1.6	5.7
Phillips	PH	PH9.4/4.8	9.4	7.5	3.9	4.8	3.55	2	2	6.5
Phillips	PQ	PQ20/16	21.3	18	8.8	16.2	10.3	12	4	14
Phillips	PQ	PQ20/20	21.3	18	8.8	20.2	14.3	12	4	14
Phillips	PQ	PQ26/20	27.3	22.5	12	20.2	11.5	15.5	6	19
Phillips	PQ	PQ26/25	27.3	22.5	12	24.7	16.1	15.5	6	19
Phillips	PQ	PQ32/20	33	27.5	13.5	20.6	11.5	19	5.5	22
Phillips	PQ	PQ32/30	33	27.5	13.5	30.3	21.3	19	5.5	22
Phillips	PQ	PQ35/35	36.1	32	14.4	34.7	25	23.5	6	26
Phillips	RM	RM4	11	7.95	3.9	10.4	7	2.04	9.8	4.6
Phillips	RM	RM4/I	11	7.95	3.9	10.4	7	0	9.8	4.6
Phillips	RM	RM4/ILP	11	7.95	3.9	7.8	4.3	0	9.8	4.6
Phillips	RM	RM5	14.9	10.2	4.9	10.4	6.3	2.04	12.3	6.8
Phillips	RM	RM5/I	14.9	10.2	4.9	10.4	6.3	0	12.3	6.8
Phillips	RM	RM5/ILP	14.6	10.2	4.9	7.8	3.6	0	12.3	6.8
Phillips	RM	RM6S	17.9	12.4	6.4	12.4	8	3	14.7	8.2
Phillips	RM	RM6S/I	17.9	12.4	6.4	12.4	8	0	14.7	8.2
Phillips	RM	RM6S/ILP	17.9	12.4	6.4	9	4.5	0	14.7	8.2
Phillips	RM	RM6R	17.9	12.4	6.4	12.4	8	3	14.7	7.4
Phillips	RM	RM7/I	20.3	14.75	7.25	13.4	8.4	0	17.2	7.25
Phillips	RM	RM7/ILP	20.3	15.4	7.25	9.8	4.7	0	17.2	7.25
Phillips	RM	RM8	23.2	17	8.55	16.4	10.8	4.4	19.7	11
Phillips	RM	RM8/I	23.2	17	8.55	16.4	10.8	0	19.7	11
Phillips	RM	RM8/ILP	23.2	17	8.55	11.6	5.9	0	19.7	11
Phillips	RM	RM10/I	28.5	21.2	10.9	18.6	12.4	0	24.7	13.5
Phillips	RM	RM10/ILP	28.5	21.2	10.9	13	6.7	0	24.7	13.5
Phillips	RM	RM12/I	37.4	25	12.8	24.5	16.8	0	29.8	16.1
Phillips	RM	RM12/ILP	37.4	25	12.8	16.8	9	0	29.8	16.1
Phillips	RM	RM14/I	42.2	29	15	30.1	20.8	0	34.7	19
Phillips	RM	RM14/ILP	42.2	29	15	20.5	11.1	0	34.7	19
Phillips	U	U10/8/3	9.9	4.35	8.2	5	2.85			
Phillips	U	U11/8/5	10.5	5.5	7.8	5.3	5			
Phillips	U	U15/11/6	15.4	5.4	11.45	6.4	6.25			
Phillips	U	U16/9.8/6	15.7	6.8	9.8	6.1	6			
