"X" 	"Y"
0 	2300
100000 	2392
134304.29072564401 	2420
197983.598439825 	2477
301059.04897666298 	2565
398107.17055349698 	2595
494745.69336460601 	2625.3000000000002
596047.538592714 	2625.3000000000002
696140.06460145698 	2595
788186.90190878604 	2535.3000000000002
878658.72262302705 	2477
994839.01535800996 	2420.0999999999999
1109031.34311559 	2283.4000000000001
1217287.7691943001 	2154.4000000000001
1315531.1122739399 	1963
1489476.67929648 	1687.5999999999999
1739600.1570544699 	1353
2000431.08965302 	1097.5
2410030.1288187499 	801.70000000000005
3137828.5738623398 	503.5
4022484.5253081098 	305.39999999999998
5319155.6221575998 	157.40000000000001
6408281.3827388603 	101.09999999999999
11380983.017100601 	25.600000000000001
